Model,Year,Mileage,Unit Milage,Engine Type,Transmission,Fuel,Offers Price,Unit Currency,Engine Power, Unit_BHP
MERCEDES-BENZ E 53 Coupé AMG 4 Matic+ 9G-Tronic,11.2019,63900, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,65800, CHF,435, BHP
MERCEDES-BENZ E 63 AMG S 4Matic Speedshift MCT,04.2020,63000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,86900, CHF,612, BHP
MERCEDES-BENZ E 320 CDI Elégance Automatic,02.2003,113550, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,10999, CHF,204, BHP
MERCEDES-BENZ E 400 d T 4Matic AMG Line 9G-Tronic,07.2021,64000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,57500, CHF,330, BHP
MERCEDES-BENZ E 200 T 4Matic AMG Line 9G-Tronic,10.2023,100, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,69900, CHF,197, BHP
MERCEDES-BENZ E 63 AMG 4matic+,01.2020,86500, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,78900, CHF,571, BHP
MERCEDES-BENZ E 450 Coupé AMG Line 4 Matic 9G-Tronic,06.2020,57000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,54990, CHF,367, BHP
MERCEDES-BENZ E 220 d AMG-Line 4Matic Swiss Star,10.2023,20, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,83800, CHF,194, BHP
MERCEDES-BENZ E 450 AMG Line 4Matic Cabriolet,10.2023,20, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,104100, CHF,367, BHP
MERCEDES-BENZ E 300 e EQ Star 4Matic,10.2023,20, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,77900, CHF,333, BHP
MERCEDES-BENZ E 220 d 4Matic AMG Line 9G-Tronic,06.2021,39500, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,56900, CHF,194, BHP
MERCEDES-BENZ E 63 AMG S 4Matic,04.2018,90000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,74900, CHF,612, BHP
MERCEDES-BENZ E 300 Coupé Avantgarde 9G-Tronic *E63 AMG Optik* *BRABUS* *Sternenhimmel*,08.2017,96900, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,41800, CHF,245, BHP
MERCEDES-BENZ E 200 AMG Line 4Matic Cabriolet,10.2018,51000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,47600, CHF,184, BHP
MERCEDES-BENZ E 350 CDI BlueTec Avantgarde 4Matic 7G-Tronic,07.2014,151800, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,21850, CHF,252, BHP
MERCEDES-BENZ E 200 AMG Line 4matic Coupé   *CH-FAHRZEUG*,02.2021,80000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,46900, CHF,197, BHP
MERCEDES-BENZ E 220 d Swiss Star AMG Line 4Matic 9G-Tronic,10.2023,100, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,82800, CHF,194, BHP
MERCEDES-BENZ E 220 d 4Matic Avantgarde 9G-Tronic,11.2022,20100, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,55400, CHF,200, BHP
MERCEDES-BENZ E 53 AMG 4Matic+ Cabriolet,05.2020,33000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,79600, CHF,457, BHP
MERCEDES-BENZ E 220 d 4Matic,10.2023,100, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,91600, CHF,197, BHP
MERCEDES-BENZ E 200 Coupé Avantgarde,03.2021,29000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,44800, CHF,197, BHP
MERCEDES-BENZ E 220 d T AMG Line,12.2020,25000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,47800, CHF,194, BHP
MERCEDES-BENZ E 220 d Avantgarde 9G-Tronic,07.2017,176541, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,22900, CHF,194, BHP
MERCEDES-BENZ E 53 Coupé AMG 4Matic+ 9G-Speedshift TCT,05.2022,6000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,99900, CHF,435, BHP
MERCEDES-BENZ E 200 Coupé 4Matic AMG Line 9G-Tronic,10.2021,72000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,44900, CHF,197, BHP
MERCEDES-BENZ E 400 d All-Terrain Avantgarde 4Matic 9G-Tronic,01.2020,61200, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,48800, CHF,340, BHP
MERCEDES-BENZ E 200 Cabriolet Sport 197HP LEDER 360°K AHK NAV LED,02.2021,18000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,54500, CHF,197, BHP
MERCEDES-BENZ E 250 CDI Avantgarde 4Matic 7G-Tronic,03.2014,231000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,14990, CHF,204, BHP
MERCEDES-BENZ E 220 d Swiss Star AMG Line 4Matic 9G-Tronic,06.2018,121700, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,31990, CHF,194, BHP
MERCEDES-BENZ E 300 de T 4M AMG Line,05.2021,37000, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,54999, CHF,194, BHP
MERCEDES-BENZ E 450 Cabriolet AMG Line 4 Matic 9G-Tronic,12.2019,51500, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,57900, CHF,367, BHP
MERCEDES-BENZ E 320 SportLine,01.1994,179800, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,29900, CHF,220, BHP
MERCEDES-BENZ E 220 d Avantgarde 4Matic,09.2022,19000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,53600, CHF,200, BHP
MERCEDES-BENZ E 43 AMG 4Matic 9G-Tronic,08.2018,98000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,47900, CHF,401, BHP
MERCEDES-BENZ E 400 e 4Matic 9G-Tronic,10.2023,1000, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,95900, CHF,207, BHP
MERCEDES-BENZ E 450 AMG Line 4Matic Kombi,10.2019,48000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,49600, CHF,367, BHP
MERCEDES-BENZ AMG E 63 S 4Matic+ Limited Last Blue performance Speedshift 9G-TCT Aktionleasing ab 999.-,01.2023,3456, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,179990, CHF,612, BHP
MERCEDES-BENZ E 400 d 4M AMG Line,03.2019,102000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,43900, CHF,340, BHP
MERCEDES-BENZ E 63 V8 S AMG 4matic,11.2013,150000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,44980, CHF,584, BHP
MERCEDES-BENZ E 400 e 4Matic 9G-Tronic,10.2023,100, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,102800, CHF,381, BHP
MERCEDES-BENZ E 220 CDI BlueEfficiency Avantgarde Automatic,01.2011,216000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,9900, CHF,170, BHP
MERCEDES-BENZ E 63 CGI AMG 7G-Tronic,03.2012,147000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,32500, CHF,557, BHP
MERCEDES-BENZ E 500 CGI Elégance 4Matic 7G-Tronic,06.2012,115000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,16500, CHF,408, BHP
MERCEDES-BENZ E 300 e 4Matic AMG Line 9G-Tronic,08.2020,6000, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,56900, CHF,211, BHP
MERCEDES-BENZ E 200 AMG Line 9G-Tronic,11.2020,12000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,47900, CHF,197, BHP
MERCEDES-BENZ E 53 AMG 4Matic 9G-Tronic,03.2019,110000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,49980, CHF,435, BHP
MERCEDES-BENZ E 250 CDI BlueEff. Avantgarde 4Matic 7G-Tronic,02.2013,92000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,20950, CHF,204, BHP
MERCEDES-BENZ E 200 Avantgarde 9G-Tronic,03.2018,99339, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,27900, CHF,184, BHP
MERCEDES-BENZ E 63 CGI AMG 7G-Tronic,11.2011,150000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,29900, CHF,557, BHP
MERCEDES-BENZ E 320 Classic 4-Matic Automatic,12.1999,171108, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,4900, CHF,224, BHP
MERCEDES-BENZ E 400 e 4Matic 9G-Tronic,10.2023,10, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,112600, CHF,381, BHP
MERCEDES-BENZ MERCEDES-BENZ E 400 e 4Matic Limousine (Limousine),10.2023,50, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,99900, CHF,381, BHP
MERCEDES-BENZ E 220 d 4Matic AMG Line 9G-Tronic,10.2023,50, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,92900, CHF,200, BHP
MERCEDES-BENZ E 63 AMG T 4Matic+ Speedshift 9G-TC,02.2023,7800, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,149900, CHF,612, BHP
MERCEDES-BENZ E 400 e 4Matic 9G-Tronic,10.2023,100, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,99900, CHF,251, BHP
MERCEDES-BENZ E 350 AMG Line 4Matic 7G-Tronic,09.2015,81000, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,32900, CHF,258, BHP
MERCEDES-BENZ E 220 4 Matic,10.2023,50, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,92200, CHF,197, BHP
MERCEDES-BENZ E 400 e 4Matic Limousine,10.2023,50, KMT,Internal Combustion Engine,Automatikgetriebe,Hybrid,100700, CHF,381, BHP
MERCEDES-BENZ E 500 CGI Elégance 4Matic 7G-Tronic,01.2012,199000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,11890, CHF,408, BHP
MERCEDES-BENZ E 220 d T 4Matic AMG Line 9G-Tronic,10.2023,10, KMT,Internal Combustion Engine,Automatikgetriebe,Diesel,88400, CHF,200, BHP
MERCEDES-BENZ E 450 Cabriolet AMG Line 4 Matic 9G-Tronic,11.2019,62000, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,49900, CHF,367, BHP
MERCEDES-BENZ E 63 AMG S 4Matic Speedshift MCT,10.2016,87500, KMT,Internal Combustion Engine,Automatikgetriebe,Benzin,74800, CHF,612, BHP
